Designator, Part, Midx, Midy, Refx, Refy, Padx, Pady, TB, Rotation
Lr01c01, 3, PLCC-6, 0.480, 0.748, 0.480, 0.748, 0.413, 0.787, Top, 0.0
UGL, 9, QFN 5x9, 0.256, 2.126, 0.256, 2.126, 0.350, 1.992, Top, 180.0
Lr02c04, 3, PLCC-6, 1.228, 0.965, 1.228, 0.965, 1.161, 1.004, Top, 0.0
MBR, 4, SO8, 4.034, 1.925, 4.109, 1.815, 4.109, 1.815, Bottom, 0.0
RBLFF, 26, 0603, 1.146, 1.852, 1.146, 1.852, 1.146, 1.823, Top, 180.0
UBL, 9, QFN 5x9, 1.201, 2.126, 1.201, 2.126, 1.295, 1.992, Top, 180.0
CX1, 25, 0603, 0.522, 2.441, 0.522, 2.441, 0.522, 2.411, Top, 180.0
LGL, 7, Ind, 0.299, 2.268, 0.299, 2.268, 0.299, 2.150, Bottom, 180.0
RFB1, 37, 0402a, 2.168, 0.394, 2.168, 0.394, 2.185, 0.394, Top, 90.0
RNTC, 36, 0402a, 1.273, 0.384, 1.273, 0.384, 1.289, 0.384, Top, 90.0
CRMCC, 17, 0805, 2.157, 2.402, 2.157, 2.402, 2.157, 2.364, Top, 180.0
RBLFG, 27, 0603, 1.091, 1.852, 1.091, 1.852, 1.091, 1.882, Top, 0.0
R86FBG, 37, 0402a, 0.526, 0.190, 0.526, 0.190, 0.526, 0.207, Top, -180.0
MN1, 5, SO8, 0.661, 0.292, 0.551, 0.217, 0.551, 0.217, Bottom, -90.0
Lr04c07, 3, PLCC-6, 1.996, 1.398, 1.996, 1.398, 1.929, 1.437, Top, 0.0
RBRTS, 30, 0603, 4.129, 1.873, 4.129, 1.873, 4.129, 1.902, Top, 0.0
Lr00c03, 3, PLCC-6, 0.972, 0.531, 0.972, 0.531, 0.906, 0.571, Top, 0.0
Lr04c11, 3, PLCC-6, 3.020, 1.398, 3.020, 1.398, 2.953, 1.437, Top, 0.0
Lr02c15, 3, PLCC-6, 4.043, 0.965, 4.043, 0.965, 3.976, 1.004, Top, 0.0
UXL, 16, LGA14 (5x3), 4.022, 0.220, 4.022, 0.220, 3.978, 0.299, Top, 0.0
Lr02c10, 3, PLCC-6, 2.764, 0.965, 2.764, 0.965, 2.697, 1.004, Top, 0.0
CSENSE, 33, 0402a, 0.578, 0.236, 0.578, 0.236, 0.561, 0.236, Top, -90.0
CBMG, 22, 0603, 2.636, 1.827, 2.636, 1.827, 2.665, 1.827, Top, -90.0
UBM, 9, QFN 5x9, 2.618, 2.126, 2.618, 2.126, 2.713, 1.992, Top, 180.0
Lr01c14, 3, PLCC-6, 3.787, 0.748, 3.787, 0.748, 3.720, 0.787, Top, 0.0
CSS2, 23, 0603, 2.265, 0.080, 2.265, 0.080, 2.236, 0.080, Top, 90.0
RRMTS, 30, 0603, 2.248, 1.852, 2.248, 1.852, 2.248, 1.882, Top, 0.0
Lr03c08, 3, PLCC-6, 2.252, 1.181, 2.252, 1.181, 2.185, 1.220, Top, 0.0
DRM, 2, PowerDi, 2.287, 1.981, 2.287, 2.028, 2.287, 2.028, Bottom, -90.0
CGM, 11, Cap2917, 1.500, 2.057, 1.500, 2.057, 1.500, 2.057, Bottom, 90.0
RGLTS, 30, 0603, 0.350, 1.852, 0.350, 1.852, 0.350, 1.882, Top, 0.0
Lr00c06, 3, PLCC-6, 1.740, 0.531, 1.740, 0.531, 1.673, 0.571, Top, 0.0
RCS0, 0, 0402a, 3.661, 0.342, 3.661, 0.342, 3.661, 0.325, Top, 0.0
RRTPU, 39, 0402a, 3.593, 0.249, 3.593, 0.249, 3.593, 0.232, Top, 0.0
LBR, 7, Ind, 4.079, 2.268, 4.079, 2.268, 4.079, 2.150, Bottom, 180.0
Lr04c13, 3, PLCC-6, 3.531, 1.398, 3.531, 1.398, 3.465, 1.437, Top, 0.0
Lr04c04, 3, PLCC-6, 1.228, 1.398, 1.228, 1.398, 1.161, 1.437, Top, 0.0
RRRSET, 29, 0603, 3.720, 1.852, 3.720, 1.852, 3.720, 1.882, Top, 0.0
RRMSET, 29, 0603, 2.303, 1.852, 2.303, 1.852, 2.303, 1.882, Top, 0.0
J3, 44, USB A, 2.970, 0.366, 2.970, 0.402, 3.107, 0.402, Bottom, 0.0
Lr05c03, 3, PLCC-6, 0.972, 1.614, 0.972, 1.614, 0.906, 1.654, Top, 0.0
Lr00c13, 3, PLCC-6, 3.531, 0.531, 3.531, 0.531, 3.465, 0.571, Top, 0.0
RCS3, 0, 0402a, 3.701, 0.381, 3.701, 0.381, 3.701, 0.364, Top, 0.0
RCS4, 0, 0402a, 3.780, 0.381, 3.780, 0.381, 3.780, 0.364, Top, 0.0
RCS5, 0, 0402a, 3.819, 0.381, 3.819, 0.381, 3.819, 0.364, Top, 0.0
RCS6, 0, 0402a, 3.740, 0.381, 3.740, 0.381, 3.740, 0.364, Top, 0.0
RRLSET, 29, 0603, 0.886, 1.852, 0.886, 1.852, 0.886, 1.882, Top, 0.0
RRRFG, 27, 0603, 3.461, 1.852, 3.461, 1.852, 3.461, 1.882, Top, 0.0
Lr04c12, 3, PLCC-6, 3.276, 1.398, 3.276, 1.398, 3.209, 1.437, Top, 0.0
RRLISP, 20, 0805, 0.555, 2.343, 0.555, 2.343, 0.555, 2.380, Bottom, 0.0
LRL, 7, Ind, 0.772, 2.264, 0.772, 2.264, 0.772, 2.146, Bottom, 180.0
RRRFF, 26, 0603, 3.516, 1.852, 3.516, 1.852, 3.516, 1.823, Top, 180.0
RGRTS, 30, 0603, 3.185, 1.852, 3.185, 1.852, 3.185, 1.882, Top, 0.0
LGR, 7, Ind, 3.134, 2.268, 3.134, 2.268, 3.134, 2.150, Bottom, 180.0
RGLRT, 28, 0603, 0.075, 1.852, 0.075, 1.852, 0.075, 1.882, Top, 0.0
CIIMON, 31, 0402a, 1.496, 0.190, 1.496, 0.190, 1.496, 0.207, Top, 180.0
Lr05c15, 3, PLCC-6, 4.043, 1.614, 4.043, 1.614, 3.976, 1.654, Top, 0.0
CRRG, 22, 0603, 3.589, 1.827, 3.589, 1.827, 3.618, 1.827, Top, -90.0
Lr02c11, 3, PLCC-6, 3.020, 0.965, 3.020, 0.965, 2.953, 1.004, Top, 0.0
Lr04c05, 3, PLCC-6, 1.484, 1.398, 1.484, 1.398, 1.417, 1.437, Top, 0.0
RGRRT, 28, 0603, 2.909, 1.852, 2.909, 1.852, 2.909, 1.882, Top, 0.0
RRRTS, 30, 0603, 3.665, 1.852, 3.665, 1.852, 3.665, 1.882, Top, 0.0
Lr02c02, 3, PLCC-6, 0.736, 0.965, 0.736, 0.965, 0.669, 1.004, Top, 0.0
Lr00c04, 3, PLCC-6, 1.228, 0.531, 1.228, 0.531, 1.161, 0.571, Top, 0.0
Lr01c05, 3, PLCC-6, 1.484, 0.748, 1.484, 0.748, 1.417, 0.787, Top, 0.0
Lr00c10, 3, PLCC-6, 2.760, 0.531, 2.760, 0.531, 2.693, 0.571, Top, 0.0
Lr02c06, 3, PLCC-6, 1.740, 0.965, 1.740, 0.965, 1.673, 1.004, Top, 0.0
CBU4S, 25, 0603, 3.917, 0.167, 3.917, 0.167, 3.917, 0.138, Top, -180.0
CBU4D, 25, 0603, 3.917, 0.266, 3.917, 0.266, 3.917, 0.295, Top, 0.0
Lr03c12, 3, PLCC-6, 3.276, 1.181, 3.276, 1.181, 3.209, 1.220, Top, 0.0
Lr01c06, 3, PLCC-6, 1.740, 0.748, 1.740, 0.748, 1.673, 0.787, Top, 0.0
Lr02c12, 3, PLCC-6, 3.276, 0.965, 3.276, 0.965, 3.209, 1.004, Top, 0.0
Lr04c10, 3, PLCC-6, 2.764, 1.398, 2.764, 1.398, 2.697, 1.437, Top, 0.0
RRLTS, 30, 0603, 0.831, 1.852, 0.831, 1.852, 0.831, 1.882, Top, 0.0
Lr05c14, 3, PLCC-6, 3.787, 1.614, 3.787, 1.614, 3.720, 1.654, Top, 0.0
Lr02c09, 3, PLCC-6, 2.508, 0.965, 2.508, 0.965, 2.441, 1.004, Top, 0.0
CRRSS, 23, 0603, 3.407, 1.858, 3.407, 1.858, 3.437, 1.858, Bottom, -90.0
Lr01c02, 3, PLCC-6, 0.736, 0.748, 0.736, 0.748, 0.669, 0.787, Top, 0.0
Lr05c06, 3, PLCC-6, 1.740, 1.614, 1.740, 1.614, 1.673, 1.654, Top, 0.0
CRLSS, 23, 0603, 0.573, 1.858, 0.573, 1.858, 0.602, 1.858, Bottom, -90.0
Lr03c15, 3, PLCC-6, 4.043, 1.181, 4.043, 1.181, 3.976, 1.220, Top, 0.0
CGRSS, 23, 0603, 2.935, 1.862, 2.935, 1.862, 2.965, 1.862, Bottom, -90.0
Lr01c15, 3, PLCC-6, 4.043, 0.748, 4.043, 0.748, 3.976, 0.787, Top, 0.0
Lr00c05, 3, PLCC-6, 1.484, 0.531, 1.484, 0.531, 1.417, 0.571, Top, 0.0
Lr04c00, 3, PLCC-6, 0.224, 1.398, 0.224, 1.398, 0.157, 1.437, Top, 0.0
CO1, 19, 0805, 2.413, 0.295, 2.413, 0.295, 2.413, 0.332, Top, 0.0
URM, 9, QFN 5x9, 2.146, 2.126, 2.146, 2.126, 2.240, 1.992, Top, 180.0
RRMRT, 28, 0603, 1.988, 1.852, 1.988, 1.852, 1.988, 1.882, Top, 0.0
Lr02c03, 3, PLCC-6, 0.972, 0.965, 0.972, 0.965, 0.906, 1.004, Top, 0.0
Lr04c15, 3, PLCC-6, 4.043, 1.398, 4.043, 1.398, 3.976, 1.437, Top, 0.0
CRLIN, 18, 0805, 0.870, 1.850, 0.870, 1.850, 0.870, 1.813, Bottom, 180.0
URR, 9, QFN 5x9, 3.563, 2.126, 3.563, 2.126, 3.657, 1.992, Top, 180.0
RGMRT, 28, 0603, 1.492, 1.852, 1.492, 1.852, 1.492, 1.882, Top, 0.0
RGMTS, 30, 0603, 1.768, 1.852, 1.768, 1.852, 1.768, 1.882, Top, 0.0
LGM, 7, Ind, 1.717, 2.268, 1.717, 2.268, 1.717, 2.150, Bottom, 180.0
CBMCC, 17, 0805, 2.627, 2.402, 2.627, 2.402, 2.627, 2.364, Top, 180.0
DRL, 2, PowerDi, 0.870, 1.981, 0.870, 2.028, 0.870, 2.028, Bottom, -90.0
Lr03c06, 3, PLCC-6, 1.740, 1.181, 1.740, 1.181, 1.673, 1.220, Top, 0.0
CGMSS, 23, 0603, 1.518, 1.862, 1.518, 1.862, 1.547, 1.862, Bottom, -90.0
CBR, 11, Cap2917, 3.862, 2.057, 3.862, 2.057, 3.862, 2.057, Bottom, 90.0
Lr01c04, 3, PLCC-6, 1.228, 0.748, 1.228, 0.748, 1.161, 0.787, Top, 0.0
RGMISP, 20, 0805, 1.477, 2.343, 1.477, 2.343, 1.477, 2.381, Bottom, 0.0
CI1, 18, 0805, 2.139, 0.317, 2.139, 0.317, 2.177, 0.317, Bottom, -90.0
CBRCC, 17, 0805, 4.044, 2.402, 4.044, 2.402, 4.044, 2.364, Top, 180.0
RRLFF, 26, 0603, 0.681, 1.852, 0.681, 1.852, 0.681, 1.823, Top, 180.0
CGMCC, 17, 0805, 1.682, 2.407, 1.682, 2.407, 1.682, 2.369, Top, 180.0
Lr03c09, 3, PLCC-6, 2.508, 1.181, 2.508, 1.181, 2.441, 1.220, Top, 0.0
Lr03c05, 3, PLCC-6, 1.484, 1.181, 1.484, 1.181, 1.417, 1.220, Top, 0.0
Lr05c07, 3, PLCC-6, 1.996, 1.614, 1.996, 1.614, 1.929, 1.654, Top, 0.0
RRMFG, 27, 0603, 2.043, 1.852, 2.043, 1.852, 2.043, 1.882, Top, 0.0
Lr05c09, 3, PLCC-6, 2.508, 1.614, 2.508, 1.614, 2.441, 1.654, Top, 0.0
Lr01c03, 3, PLCC-6, 0.972, 0.748, 0.972, 0.748, 0.906, 0.787, Top, 0.0
CGRIN, 18, 0805, 3.232, 1.854, 3.232, 1.854, 3.232, 1.817, Bottom, 180.0
CRMG, 22, 0603, 2.171, 1.827, 2.171, 1.827, 2.201, 1.827, Top, -90.0
LBL, 7, Ind, 1.244, 2.268, 1.244, 2.268, 1.244, 2.150, Bottom, 180.0
RBLRT, 28, 0603, 1.060, 1.847, 1.060, 1.847, 1.090, 1.847, Bottom, -90.0
DBM, 2, PowerDi, 2.760, 1.985, 2.760, 2.031, 2.760, 2.031, Bottom, -90.0
U3, 13, BGA25-6.25x6.25, 2.236, 0.238, 2.236, 0.238, 2.236, 0.238, Top, 180.0
RGMFG, 27, 0603, 1.547, 1.852, 1.547, 1.852, 1.547, 1.882, Top, 0.0
RGMFF, 26, 0603, 1.602, 1.852, 1.602, 1.852, 1.602, 1.823, Top, 180.0
MGM, 4, SO8, 1.672, 1.925, 1.747, 1.815, 1.747, 1.815, Bottom, 0.0
CBM, 11, Cap2917, 2.445, 2.057, 2.445, 2.057, 2.445, 2.057, Bottom, 90.0
RGLFF, 26, 0603, 0.185, 1.852, 0.185, 1.852, 0.185, 1.823, Top, 180.0
MBM, 4, SO8, 2.617, 1.925, 2.692, 1.815, 2.692, 1.815, Bottom, 0.0
CSS86, 23, 0603, 0.659, 0.344, 0.659, 0.344, 0.630, 0.344, Top, 90.0
CBOUT3, 18, 0805, 0.740, 0.285, 0.740, 0.285, 0.778, 0.285, Top, -90.0
Lr00c02, 3, PLCC-6, 0.736, 0.531, 0.736, 0.531, 0.669, 0.571, Top, 0.0
Lr04c08, 3, PLCC-6, 2.252, 1.398, 2.252, 1.398, 2.185, 1.437, Top, 0.0
Lr01c08, 3, PLCC-6, 2.252, 0.748, 2.252, 0.748, 2.185, 0.787, Top, 0.0
UBR, 9, QFN 5x9, 4.035, 2.126, 4.035, 2.126, 4.130, 1.992, Top, 180.0
CBRIN, 18, 0805, 4.177, 1.854, 4.177, 1.854, 4.177, 1.817, Bottom, 180.0
CGLG, 22, 0603, 0.274, 1.827, 0.274, 1.827, 0.303, 1.827, Top, -90.0
RRMISP, 20, 0805, 1.972, 2.343, 1.972, 2.343, 1.972, 2.380, Bottom, 0.0
CBRSS, 23, 0603, 3.794, 1.857, 3.794, 1.857, 3.823, 1.857, Bottom, -90.0
RBRSET, 29, 0603, 4.185, 1.852, 4.185, 1.852, 4.185, 1.882, Top, 0.0
Lr01c10, 3, PLCC-6, 2.760, 0.748, 2.760, 0.748, 2.693, 0.787, Top, 0.0
RRLFG, 27, 0603, 0.626, 1.852, 0.626, 1.852, 0.626, 1.882, Top, 0.0
DGM, 2, PowerDi, 1.815, 1.985, 1.815, 2.031, 1.815, 2.031, Bottom, -90.0
Lr01c07, 3, PLCC-6, 1.996, 0.748, 1.996, 0.748, 1.929, 0.787, Top, 0.0
UGM, 9, QFN 5x9, 1.673, 2.126, 1.673, 2.126, 1.768, 1.992, Top, 180.0
DBL, 2, PowerDi, 1.343, 1.985, 1.343, 2.031, 1.343, 2.031, Bottom, -90.0
RGDIS, 40, 0402a, 1.230, 0.190, 1.230, 0.190, 1.230, 0.207, Top, 180.0
Lr03c14, 3, PLCC-6, 3.787, 1.181, 3.787, 1.181, 3.720, 1.220, Top, 0.0
Lr04c06, 3, PLCC-6, 1.740, 1.398, 1.740, 1.398, 1.673, 1.437, Top, 0.0
DGR, 2, PowerDi, 3.232, 1.985, 3.232, 2.031, 3.232, 2.031, Bottom, -90.0
Lr02c08, 3, PLCC-6, 2.252, 0.965, 2.252, 0.965, 2.185, 1.004, Top, 0.0
RFREQ, 0, 0603, 2.196, 0.238, 2.196, 0.238, 2.226, 0.238, Bottom, -90.0
Lr03c03, 3, PLCC-6, 0.972, 1.181, 0.972, 1.181, 0.906, 1.220, Top, 0.0
LRM, 7, Ind, 2.189, 2.264, 2.189, 2.264, 2.189, 2.146, Bottom, 180.0
Lr03c01, 3, PLCC-6, 0.480, 1.181, 0.480, 1.181, 0.413, 1.220, Top, 0.0
J2, 43, USB Micro-B, 0.203, 0.246, 0.238, 0.246, 0.238, 0.195, Bottom, -90.0
Lr04c01, 3, PLCC-6, 0.480, 1.398, 0.480, 1.398, 0.413, 1.437, Top, 0.0
